Session ID,Assistant,Channel,Visitor name,Ended Reason,Success Evaluation,Start Time,Duration,Cost
"room_9010","Amit's Assistant","web","—","Session completed","NA","Jul 10, 2026, 2:56 PM","1s","$0.00"
"room_9021","Amit's Assistant","web","—","Session completed","NA","Jul 10, 2026, 2:55 PM","2s","$0.00"
"room_570","Amit's Assistant","web","—","Session abandoned","NA","Jul 10, 2026, 2:55 PM","0s","$0.00"
"room_1653","Amit's Assistant","web","—","Session abandoned","NA","Jul 10, 2026, 2:53 PM","1s","$0.00"
"room_9387","Amit's Assistant","web","—","Session abandoned","NA","Jul 10, 2026, 2:53 PM","1s","$0.00"
"room_671","Amit's Assistant","web","—","Session completed","NA","Jul 10, 2026, 2:52 PM","1s","$0.00"
"room_48","Amit's Assistant","web","—","Session completed","NA","Jul 10, 2026, 2:52 PM","19s","$0.04"
"room_9766","Amit's Assistant","web","—","Session completed","NA","Jul 10, 2026, 2:52 PM","1s","$0.00"
"room_1776","testing kb local","web","—","Session completed","pass","Jul 10, 2026, 12:39 PM","46s","$0.09"
"room_7093","testing kb local","web","—","Session completed","pass","Jul 10, 2026, 12:38 PM","49s","$0.09"
"room_6481","English Expert - Lia","web","—","Session completed","NA","Jul 9, 2026, 2:48 PM","2s","$0.00"
"room_6200","English Expert - Lia","web","—","Session abandoned","NA","Jul 9, 2026, 2:47 PM","14s","$0.00"
"room_2408","testing kb local","web","—","Session completed","pass","Jul 9, 2026, 2:26 PM","2s","$0.00"
"room_7882","testing kb local","web","—","Session abandoned","fail","Jul 9, 2026, 2:25 PM","11s","$0.00"
"room_3103","abcd testing 5678","web","—","Session abandoned","NA","Jul 9, 2026, 2:24 PM","1s","$0.00"
"room_2115","abcd testing 5678","web","—","Session completed","NA","Jul 9, 2026, 2:24 PM","2s","$0.00"
"room_5820","abcd testing 5678","web","—","Session completed","NA","Jul 9, 2026, 2:23 PM","18s","$0.00"
"room_9516","testing kb local","web","—","Session completed","pass","Jul 9, 2026, 2:22 PM","36s","$0.00"
"room_8862","testing kb local","web","—","Session abandoned","fail","Jul 9, 2026, 2:21 PM","12s","$0.00"
"room_8262","testing kb local","web","—","Session completed","pass","Jul 9, 2026, 2:19 PM","2s","$0.00"
"room_8728","testing kb local","web","—","Session abandoned","fail","Jul 9, 2026, 2:18 PM","37s","$0.00"
"room_5562","testing kb local","web","—","Session completed","pass","Jul 7, 2026, 11:26 AM","1s","$0.00"
"room_7665","testing kb local","web","—","Session active","fail","Jul 7, 2026, 11:24 AM","0s","$0.00"
"room_5247","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 3:54 PM","3s","$0.00"
"room_644","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 3:52 PM","1m 52s","$0.00"
"room_4859","testing kb local","web","—","Session abandoned","fail","Jul 6, 2026, 3:52 PM","1s","$0.00"
"room_853","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 3:52 PM","2s","$0.00"
"room_9979","testing kb local","web","—","Session active","fail","Jul 6, 2026, 3:51 PM","0s","$0.00"
"room_3597","testing kb local","web","—","Session active","fail","Jul 6, 2026, 3:51 PM","0s","$0.00"
"room_9312","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 2:24 PM","1s","$0.00"
"room_3136","testing kb local","web","—","Session active","fail","Jul 6, 2026, 2:23 PM","0s","$0.00"
"room_2491","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:52 PM","2s","$0.00"
"room_4934","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:50 PM","1m 56s","$0.00"
"room_4526","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:46 PM","1s","$0.00"
"room_7967","testing kb local","web","—","Session active","fail","Jul 6, 2026, 12:41 PM","0s","$0.00"
"room_1309","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:30 PM","2s","$0.00"
"room_9929","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:30 PM","1m 20s","$0.00"
"room_2893","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:28 PM","38s","$0.00"
"room_9120","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:26 PM","19s","$0.00"
"room_9841","testing kb local","web","—","Session active","fail","Jul 6, 2026, 12:25 PM","0s","$0.00"
"room_5130","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:11 PM","1s","$0.00"
"room_3419","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:10 PM","15s","$0.03"
"room_6874","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:10 PM","1s","$0.00"
"room_4504","testing kb local","web","—","Session active","fail","Jul 6, 2026, 12:09 PM","0s","$0.00"
"room_6581","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:05 PM","1s","$0.00"
"room_845","testing kb local","web","—","Session active","fail","Jul 6, 2026, 12:05 PM","0s","$0.00"
"room_2447","testing kb local","web","—","Session active","fail","Jul 6, 2026, 12:05 PM","0s","$0.00"
"room_4422","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 11:58 AM","2s","$0.00"
"room_4533","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 11:57 AM","1m 5s","$0.00"
"room_4045","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 11:52 AM","2s","$0.00"
"room_6565","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 11:48 AM","2s","$0.00"
"room_5337","testing kb local","web","—","Session active","fail","Jul 6, 2026, 11:47 AM","0s","$0.00"
"room_6572","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 11:28 AM","1s","$0.00"
"room_689","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 11:26 AM","2s","$0.00"
"room_4949","testing kb local","web","—","Session active","fail","Jul 6, 2026, 11:26 AM","0s","$0.00"
"room_9436","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 11:26 AM","1s","$0.00"
"room_8248","testing kb local","web","—","Session active","fail","Jul 6, 2026, 11:26 AM","0s","$0.00"
"room_8244","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 11:24 AM","1s","$0.00"
"room_7817","testing kb local","web","—","Session active","fail","Jul 6, 2026, 11:23 AM","0s","$0.00"
"room_384","Test Emma","web","—","Session completed","NA","Jul 3, 2026, 3:57 PM","1s","$0.00"
"room_1569","Test Emma","web","—","Session completed","NA","Jul 3, 2026, 3:57 PM","38s","$0.00"
"room_3919","Test Emma","web","—","Session completed","NA","Jul 3, 2026, 3:56 PM","1s","$0.00"
"room_2005","Test Emma","web","—","Session abandoned","NA","Jul 3, 2026, 3:56 PM","1s","$0.00"
